<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<VOL>
13940403,292.84,303,288,291.69,15503655
13940406,293.61,306,292,292.97,11890770
13940407,290.28,294,284,284.14,3724313
13940408,275.06,292,271,286.96,12011697
13940409,291.69,294,287,293.61,9906027
13940410,295.53,302,290,297.7,10364169
13940413,303.84,309,301,306.79,11072497
13940414,306.02,306,290,290.41,13204486
13940415,289.52,294,280,283.37,12262456
13940416,285.29,294,285,286.7,11136774
13940420,275.06,281,275,278.77,14040354
13940421,278.77,284,270,271.86,11489511
13940422,283.76,288,276,277.23,9761509
13940423,281.46,288,268,282.73,11788837
13940424,281.2,281,266,269.43,5301680
13940505,252.16,257,243,245.76,4287087
13940506,249.47,258,243,253.82,5123982
13940507,258.43,261,256,260.09,12210098
13940510,262.27,267,256,256,3031582
13940511,256.12,258,250,250.62,4417441
13940512,254.59,256,244,246.27,3592543
13940513,245.89,258,243,253.31,6545052
13940514,257.02,261,252,255.87,4377094
13940517,269.3,269,269,269.3,653041
13940518,282.73,283,280,282.73,73042681
13940519,284.01,287,278,278.26,15512508
13940521,277.75,281,276,278,6777234
13940524,276.47,276,264,270.96,7450180
13940525,271.86,279,268,273.78,3591744
13940526,274.67,275,265,265.08,2419099
13940527,264.82,267,260,261.37,3671786
13940528,263.93,268,260,260.73,3683619
13940531,266.1,266,253,254.08,3293882
13940601,254.59,256,248,253.31,4127102
13940602,253.95,261,250,259.58,4043179
13940603,258.3,258,246,247.68,5460238
13940604,248.32,253,244,247.04,2668171
13940607,248.19,256,248,252.16,1907742
13940608,249.73,250,246,248.06,2281142
13940609,249.86,250,246,246.15,1181683
13940610,248.06,253,246,249.47,1683604
13940611,249.47,252,246,249.47,2268222
13940614,252.93,261,253,260.73,4557775
13940615,261.24,264,255,255.87,3225105
13940618,236.17,241,231,239.24,8344047
13940621,235.4,241,224,224.4,11738687
13940622,222.48,224,217,217.36,5310355
13940623,213.65,214,207,207.25,6677067
13940624,201.5,215,199,212.37,9156987
13940625,214.93,216,212,216.34,2071771
13940628,220.69,221,211,212.37,6746344
13940629,215.95,217,205,205.85,5315970
13940630,204.69,207,196,207.25,2764869
13940631,204.31,210,204,210.45,2053882
13940701,213.27,218,212,213.65,2316726
13940704,216.21,216,205,207.25,1875634
13940705,205.97,208,198,205.08,6197734
13940706,202.26,211,202,207.25,1886571
13940707,206.1,212,206,208.79,2415571
13940708,210.96,212,207,212.24,2453582
13940711,210.2,214,205,210.96,3829850
13940712,208.28,219,205,218.64,5449644
13940713,219.02,225,219,223.5,3878106
13940714,221.84,224,216,222.48,2857747
13940715,224.52,227,220,224.52,4702721
13940718,227.59,230,225,226.44,3277584
13940719,227.21,228,223,226.83,2668134
13940720,223.76,231,223,230.15,1561722
13940721,230.28,237,227,235.53,2220677
13940722,238.21,245,237,239.49,4567406
13940725,240.52,247,236,238.09,7156952
13940726,240.52,243,229,231.82,6969024
13940727,233.74,241,230,231.69,5199559
13940728,236.17,237,226,227.72,2600925
13940729,224.52,233,222,226.96,2099028
13940803,221.45,221,216,216.34,1622476
13940804,211.09,221,207,220.81,4661608
13940805,219.15,226,219,225.93,3868098
13940806,227.21,230,224,228.23,2344584
13940809,230.28,232,223,226.44,2270546
13940810,228.87,238,226,234.12,8291949
13940811,232.84,241,232,236.81,5255219
13940812,238.21,247,238,240,6966601
13940813,242.44,256,239,255.74,10045921
13940816,258.56,263,252,255.87,13516222
13940817,257.15,261,247,249.86,9130495
13940818,251.9,265,247,264.82,16086509
13940819,267.64,274,266,266.1,12622873
13940820,268.53,269,257,259.45,14836635
13940823,262.27,266,252,257.15,6149703
13940824,259.19,271,259,267,11372549
13940825,269.43,272,260,260.6,7783375
13940826,264.7,265,253,257.66,6604015
13940827,258.43,265,255,263.16,4140585
13940830,260.99,273,261,273.4,17138464
13940901,273.91,279,273,274.16,9402130
13940902,276.85,277,266,267.64,6462847
13940903,268.53,269,261,261.75,4397291
13940904,260.99,261,256,257.02,6029621
13940907,254.59,261,254,260.09,4435686
13940908,262.27,265,258,258.43,2989180
13940909,258.43,261,256,257.02,1614979
13940910,259.71,260,255,255.48,3614792
13940914,257.79,262,257,258.56,2727086
13940915,257.66,258,249,250.75,4399635
13940916,252.16,253,247,247.3,3886330
13940917,251.9,254,247,250.88,2453260
13940918,252.93,261,251,259.71,3814967
13940922,261.11,261,254,258.3,1997973
13940923,259.45,264,258,262.14,2452469
13940924,262.27,266,259,262.27,3020129
13940925,263.54,265,254,255.23,3003555
13940928,259.07,259,245,248.19,4323798
13940929,247.17,251,240,248.06,4085544
13940930,249.6,252,247,249.6,2256613
13941001,247.55,263,246,262.65,5347946
13941002,268.92,269,262,267.13,33012351
13941005,266.74,275,262,269.05,13208280
13941006,271.86,280,272,273.78,6628222
13941007,273.91,277,269,269.94,5719329
13941009,268.66,276,266,268.15,7406872
13941012,269.94,270,261,262.9,5065008
13941013,260.99,272,260,265.98,6746644
13941014,264.82,272,265,265.34,4185523
13941015,260.99,271,256,264.31,16260616
13941016,268.66,270,260,260.86,12114732
13941019,263.42,263,256,256,8813397
13941020,258.43,262,253,254.08,7500547
13941021,258.43,262,252,254.33,12979022
13941022,253.44,256,246,248.19,17364931
13941023,246.91,256,244,249.34,13424966
13941026,255.61,256,244,244.61,17400633
13941027,249.47,249,235,235.4,24315052
13941028,232.97,237,227,234.76,18873981
13941029,232.2,239,228,229.13,17020932
13941030,227.72,244,222,243.71,18559092
13941103,247.94,249,241,249.34,19705828
13941104,249.47,260,248,259.83,26763801
13941105,267.25,270,262,269.94,39859198
13941106,263.67,272,256,255.61,43429891
13941107,255.87,261,249,249.22,21366916
13941110,252.16,260,246,247.17,8196841
13941111,251.77,252,242,243.33,14139144
13941112,246.91,256,244,248.19,22958788
13941113,262.52,263,256,262.52,54029536
13941114,275.57,276,276,275.57,10389202
13941117,289.26,289,289,289.26,820927
13941118,303.72,304,304,303.72,1564618
13941119,318.81,319,319,318.81,1881475
13941120,334.68,335,321,334.68,52738459
13941121,347.98,351,339,344.14,57271641
13941124,367.04,367,367,367.04,401575
13941125,385.34,385,385,385.34,14977147
13941126,404.53,405,394,404.53,155762410
13941127,411.82,423,404,413.1,90050264
13941128,415.91,427,404,409.39,44997262
13941201,417.07,435,400,416.68,53948801
13941202,424.74,447,407,446.62,38311558
13941203,456.47,456,442,456.47,61682934
13941204,456.21,471,435,447.77,48503638
13941205,450.33,458,436,436.38,22819493
13941219,342.86,343,315,318.56,75057357
13941226,312.54,313,313,312.54,1463477
13950107,296.94,328,297,328.15,33708168
13950108,327.51,329,317,329.17,23528952
13950109,332.63,339,322,328.79,17142740
13950110,326.23,331,317,316.77,17493967
13950111,316,333,311,327.51,26857608
13950114,332.12,341,326,331.35,18637940
13950115,335.32,337,320,327.51,13025003
13950116,340.94,343,336,342.99,75552788
13950117,345.42,350,331,333.91,26049791
13950118,336.47,354,331,343.89,53971431
13950121,345.42,362,343,358.22,54297072
13950122,362.05,370,349,349.26,35529419
13950123,354.25,354,340,344.14,19905859
13950124,337.75,344,327,327.38,25913149
13950125,320.86,325,317,316.64,9500705
13950128,309.6,316,303,302.56,7947781
13950129,290.41,303,290,301.41,48761924
13950130,308.45,308,308,308.45,3612825
13950131,323.8,324,310,323.8,40570081
13950201,331.48,339,327,331.22,40288367
13950204,336.34,340,324,325.21,12404982
13950205,319.96,339,320,335.32,18554260
13950206,339.03,345,336,341.58,37686390
13950207,345.17,361,338,361.16,73721764
13950208,364.61,369,349,353.1,46757531
13950211,358.22,364,343,346.7,27584132
13950212,346.83,354,337,336.98,30745412
13950213,338.77,356,329,356.04,63818471
13950214,358.6,365,352,351.82,25394675
13950215,357.96,360,348,350.54,11202384
13950218,351.82,360,340,345.04,17044481
13950219,341.58,349,336,336.72,12431429
13950220,340.69,347,333,339.03,8399740
13950221,343.89,356,326,356.42,44756692
13950222,364.1,364,349,364.1,132353476
13950225,377.41,380,376,379.58,81650926
13950226,398.26,398,388,392.63,153791361
13950227,387.64,402,378,381.24,71317068
13950228,383.93,409,384,407.47,125509368
13950229,402.86,411,392,400.43,40928333
13950301,403.5,415,399,404.27,20210871
13950303,402.99,412,400,403.25,24520330
13950304,406.83,407,391,392.89,19615286
13950305,392.76,402,381,385.08,26385606
13950308,382.52,403,383,391.61,22615665
13950309,396.6,406,387,388.92,12716862
13950310,399.15,412,391,399.41,37043211
13950311,402.99,405,391,391.48,10497790
13950312,391.86,398,390,395.06,12688139
13950316,402.99,407,397,396.6,16579541
13950317,396.6,400,386,386.36,20285409
13950318,388.41,402,386,391.48,31961740
13950319,390.58,394,382,384.95,18429832
13950322,383.8,384,366,365.76,16580782
13950323,356.94,359,350,350.03,47499748
13950324,356.81,361,339,345.42,17417828
13950329,345.29,352,334,334.42,11277903
13950330,338.9,343,323,323.29,8782078
13950331,317.66,322,314,314.08,35025960
13950401,314.21,331,307,330.97,23251354
13950402,330.97,338,326,338.26,9818337
13950405,332.63,338,320,319.58,16971117
13950406,313.44,339,312,338.77,31262335
13950408,346.96,347,345,346.96,6490954
13950409,348.24,363,336,345.42,35388367
13950412,351.69,362,342,341.58,13069035
13950413,345.42,356,342,344.78,10635615
13950414,344.14,357,340,346.96,15194202
13950415,353.1,358,346,351.69,11317876
13950419,349.26,349,335,334.8,8223166
13950420,330.07,336,321,324.31,17567984
13950421,317.28,324,309,314.08,22448688
13950422,313.31,325,307,310.24,16098324
13950423,314.08,319,306,316.89,10617933
13950426,313.31,326,313,318.56,9570251
13950427,321.24,328,313,312.67,15604523
13950428,316,317,308,307.68,12560321
13950504,325.34,330,312,315.61,15015817
13950505,317.02,320,312,313.44,7908826
13950506,314.59,325,313,315.1,11072378
13950510,319.58,320,310,310.62,7984556
13950511,313.44,318,308,311.26,7591439
13950512,314.46,328,313,328.02,23852395
13950513,322.39,332,317,318.43,14340186
13950516,319.71,337,315,326.1,45647479
13950517,337.75,345,330,330.33,14164141
13950518,331.22,334,322,328.79,10027786
13950519,326.23,341,326,337.75,15249461
13950520,340.43,345,336,336.47,10382540
13950523,334.8,341,329,338.26,11052779
13950524,340.3,342,330,331.22,8905363
13950525,329.81,339,328,332.63,12354320
13950526,330.97,344,330,335.96,25494035
13950527,339.28,339,328,330.07,15714430
13950530,330.71,335,325,325.59,8034435
13950531,325.21,334,321,322.39,20789910
13950601,326.23,331,322,322.39,8699177
13950602,324.06,329,321,321.75,3837303
13950603,320.73,325,319,319.84,6421171
13950606,336.47,336,334,336.47,37610404
13950607,340.3,343,328,328.66,19422685
13950608,327.64,333,328,328.02,6417214
13950609,330.07,330,320,323.67,4760037
13950610,322.52,325,316,317.92,7091202
13950613,317.92,326,314,316.89,4269997
13950614,319.84,320,313,314.33,5660738
13950615,314.21,319,313,315.74,5219588
13950616,316.89,324,316,316,9922375
13950617,319.71,323,314,313.57,7915212
13950620,313.69,315,310,310.75,6041822
13950621,310.88,313,308,308.58,7125979
13950623,309.09,312,298,303.2,12192585
13950624,301.92,317,299,313.44,14567013
13950627,318.56,327,317,326.87,18206655
13950628,329.56,336,327,329.05,14096453
13950629,330.84,336,326,328.41,10750102
13950631,333.91,347,331,339.03,60649576
13950703,341.71,354,338,337.87,23875167
13950704,338.13,343,333,335.96,15766937
13950705,336.59,344,336,338,11825536
13950706,342.22,345,338,340.3,13174418
13950707,342.86,355,339,353.1,21159296
13950710,356.94,361,348,349.64,13068934
13950711,351.69,352,344,345.68,10729110
13950712,349.13,352,343,344.14,13087483
13950713,345.42,349,339,339.15,13777850
13950714,345.17,345,337,338.26,10682087
13950717,336.59,351,336,346.7,15723285
13950718,346.7,354,346,351.69,12070713
13950719,352.59,363,349,361.41,19915759
13950724,364.36,364,351,354.12,10426190
13950725,354.12,357,345,345.17,9390411
13950726,349,358,347,354.38,13961177
13950727,354.38,358,351,351.31,5715503
13950728,357.96,358,349,350.67,7710776
13950801,351.82,352,342,342.86,11040265
13950802,345.42,358,343,354.38,16095672
13950803,355.4,355,347,350.41,7997255
13950804,351.82,370,352,369.6,35381353
13950805,382.4,384,372,376,60152214
13950808,383.16,391,375,376.13,26055632
13950809,377.28,377,366,368.83,15371969
13950810,367.17,372,363,364.61,15081992
13950811,364.74,376,365,367.17,10929534
13950812,369.73,371,362,364.61,12198948
13950815,373.44,379,365,366.02,19386026
13950816,365.89,370,353,352.71,21542289
13950817,349.13,357,347,351.95,12219054
13950818,353.48,363,353,360.52,11406902
13950819,341.71,351,340,348.11,24547174
13950822,351.82,359,349,349.77,19369783
13950823,350.92,358,349,350.54,8565864
13950824,350.41,353,347,351.95,9884573
13950825,355.78,365,352,364.36,21177529
13950826,364.61,372,360,360.9,21635202
13950829,356.94,359,353,353.1,9946533
13950901,357.45,357,349,351.56,6661333
13950902,356.17,368,353,358.09,11006063
13950903,364.48,364,355,358.22,8708871
13950906,359.5,363,356,356.04,6614120
13950907,361.93,362,355,355.53,3325951
13950909,355.66,356,349,350.54,8423401
13950913,349.26,349,335,344.14,10639583
13950914,349.26,352,343,344.14,11066533
13950915,339.03,346,335,338.9,9750906
13950916,340.94,345,336,337.36,7996090
13950917,340.05,343,338,337.75,7993748
13950920,341.46,347,336,337.75,8492579
13950921,342.86,343,333,334.93,4744851
13950922,337.75,338,328,332.63,7501811
13950923,331.48,333,321,322.39,7383323
13950924,325.72,343,324,342.61,25827975
13950928,345.93,352,342,342.99,13039764
13950929,345.04,348,336,337.87,6424139
13950930,339.03,340,329,329.05,6518037
13951001,332.63,347,333,340.43,6267270
13951004,343.5,348,334,338.77,5277607
13951005,339.03,344,335,337.75,7819390
13951006,344.14,345,335,340.3,5288837
13951007,338,340,329,331.35,5629839
13951008,339.15,345,339,344.65,10482951
13951011,344.14,347,340,340.43,5499665
13951012,340.3,342,336,338.39,3154420
13951013,336.59,342,333,335.19,5340247
13951014,340.3,342,333,336.47,4821743
13951015,336.47,343,335,338,9454316
13951018,340.56,345,340,341.58,11356300
13951019,344.91,360,342,359.75,21424344
13951020,358.22,363,352,357.19,12045592
13951022,357.45,357,347,351.31,7816806
13960126,466.66,513,459,462.34,573584004
13960127,467.2,467,452,452.09,61597201
13960128,432.13,472,432,465.04,340623482
13960129,463.96,472,453,462.34,152442714
13960130,469.36,469,447,448.32,130770151
13960202,453.17,462,445,446.16,112438121
13960203,448.86,449,434,435.37,101303547
13960204,440.22,447,433,442.38,44972690
13960206,443.46,443,433,433.75,66364869
13960209,436.99,437,424,429.97,86381496
13960210,431.05,450,425,450.47,62376274
13960211,460.19,464,445,446.7,79413650
13960212,451.55,452,434,434.83,55766294
13960213,442.38,448,432,441.84,45820412
13960216,444,446,434,439.68,51622027
13960217,446.7,453,437,441.84,50460825
13960218,445.08,445,435,435.91,40296626
13960219,437.53,445,432,438.07,48911278
13960220,442.38,446,438,439.68,36187374
13960223,441.3,442,432,433.21,42110841
13960224,436.45,438,427,428.9,35889883
13960225,431.05,433,426,430.51,26371879
13960226,431.05,437,428,429.97,28363379
13960227,432.67,434,429,431.05,38043355
13960230,437.53,443,432,435.37,41168350
13960231,435.37,435,428,428.36,31985042
13960301,431.59,447,430,435.91,48360105
13960302,439.68,440,434,435.37,23536746
13960303,435.91,443,435,440.22,38071426
13960306,441.3,442,434,434.83,36687312
13960307,434.29,439,426,426.2,46586392
13960308,429.43,434,426,428.9,23255478
13960309,429.43,431,419,421.88,40164523
13960310,426.74,430,419,419.72,30641650
13960313,421.88,424,412,414.87,37471692
13960316,415.95,416,402,404.08,44023488
13960317,399.22,407,387,393.29,76674854
13960320,399.22,400,388,388.43,23172981
13960321,390.59,391,376,378.18,37961428
13960322,382.5,382,370,371.17,26228674
13960323,372.25,392,365,392.21,52272177
13960324,396.53,401,390,400.84,26625118
13960327,413.79,414,399,400.84,35170751
13960328,401.38,401,386,387.35,19602800
13960329,387.89,388,378,381.42,15590305
13960330,378.72,393,378,381.42,16391645
13960331,386.81,387,380,379.8,22412152
13960403,378.72,392,379,384.12,23809648
13960404,386.81,393,385,385.74,23129859
13960407,386.28,391,378,381.42,24433105
13960410,380.88,387,378,380.34,15661215
13960411,380.34,381,371,373.33,21705474
13960412,376.03,392,368,380.34,41783637
13960413,383.04,384,373,373.33,20344812
13960414,376.03,381,372,379.26,25656175
13960417,377.64,378,370,372.25,23945748
13960418,370.63,378,370,371.17,28299890
13960419,377.64,391,378,390.59,90623663
13960420,395.45,400,384,385.2,26317311
13960421,387.89,405,388,403.54,92549507
13960424,405.7,415,406,413.79,75921183
13960425,415.41,423,410,419.72,132199041
13960510,436.99,437,416,421.34,115443940
13960511,417.57,429,413,425.66,66146583
13960515,422.96,429,416,417.03,24420335
13960516,418.11,419,405,415.41,46704434
13960517,419.18,431,412,430.51,68674503
13960518,438.07,443,432,434.29,55873905
13960521,433.75,442,426,431.59,42768861
13960522,427.82,435,422,423.5,22553879
13960523,426.2,431,421,425.66,26035259
13960524,422.42,432,422,423.5,36347309
13960525,426.74,440,424,436.99,52456539
13960528,438.07,447,435,442.92,47966010
13960529,442.92,448,436,442.38,34313335
13960530,442.38,454,442,449.94,48397702
13960531,453.17,458,445,446.16,34111708
13960601,447.78,452,445,451.01,57104304
13960604,452.63,458,449,454.25,43990692
13960605,454.79,456,448,448.32,34532536
13960606,450.47,473,447,472.59,116621066
13960607,475.83,485,474,485,96947889
13960608,501.73,507,490,492.56,204196613
13960611,488.24,518,488,494.71,55164329
13960612,500.65,506,488,488.24,46109233
13960613,488.24,491,476,489.86,39751759
13960614,485.54,500,473,472.59,69255535
13960615,480.15,483,468,472.59,30456181
13960619,463.96,475,454,457.49,44792649
13960620,453.71,463,450,455.87,23390394
13960621,458.57,478,454,476.91,46498618
13960622,479.61,490,478,478.53,39887815
13960625,485.54,487,475,480.15,23357793
13960626,477.45,486,477,480.15,29749413
13960627,482.84,496,481,492.02,32459466
13960628,493.63,511,494,499.57,51969358
13960629,501.73,502,486,489.86,23373182
13960705,504.96,509,494,496.33,54990958
13960710,490.4,490,478,477.99,87064304
13960711,468.82,473,456,459.11,49391784
13960712,459.65,475,460,466.12,22953663
13960715,467.74,468,445,444.54,45950395
13960716,445.08,445,426,427.28,60093715
13960717,431.59,446,425,437.53,33751536
13960718,434.83,441,431,433.21,16005474
13960719,431.05,437,424,434.29,21871324
13960722,436.99,448,431,432.67,75769947
13960723,432.67,437,426,427.28,37220358
13960724,426.74,440,427,432.67,23347008
13960725,431.05,436,429,431.05,31299096
13960726,435.37,443,432,438.61,38925304
13960729,444.54,459,445,458.03,93085669
13960730,463.42,474,454,456.41,44805113
13960801,461.26,463,447,447.24,32773258
13960802,455.33,455,447,448.32,18312780
13960803,447.24,458,447,448.86,23087897
13960806,449.4,453,439,440.76,30637363
13960807,443.46,445,432,433.21,37296446
13960808,428.9,434,424,432.13,42860546
13960809,434.29,445,432,435.91,33384787
13960810,437.53,442,431,433.75,30736823
13960813,428.9,432,422,424.58,59446189
13960814,431.59,433,425,428.36,85987266
13960815,427.82,431,424,425.66,28005007
13960816,424.04,425,416,418.11,36057566
13960817,421.34,428,414,422.42,25292458
13960820,425.66,429,420,420.8,24458505
13960821,425.12,428,418,419.18,20887745
13960822,419.18,427,419,421.34,22325392
13960823,426.2,428,420,419.72,15573148
13960824,420.8,424,419,419.72,18646830
13960827,423.5,424,413,417.03,23838449
13960829,419.18,424,413,414.33,20112350
13960830,415.41,421,412,414.87,28165401
13960901,411.63,429,412,424.58,34386568
13960904,427.28,442,427,441.84,89986702
13960905,445.08,455,438,438.61,37915150
13960907,432.67,445,429,429.97,43768829
13960908,429.97,436,426,427.82,22969307
13960911,427.28,436,425,425.12,27248738
13960912,433.75,442,426,427.82,28570589
13960913,426.74,432,425,426.2,19954741
13960914,424.58,432,424,424.04,25210033
13960918,428.9,430,421,421.34,25985225
13960919,424.04,429,421,422.96,23034855
13960920,426.2,444,422,444,222689205
13960921,463.42,463,463,463.42,8644348
13960922,486.08,486,466,486.08,460750068
13960925,490.94,493,475,480.15,98182210
13960926,481.23,504,481,490.94,103780552
13960927,492.56,517,493,516.83,161861470
13960928,523.31,530,510,517.91,114686578
13960929,518.99,524,506,517.91,95349550
13961002,523.31,523,489,488.78,163975253
13961003,484.46,485,474,474.21,84392877
13961004,465.04,488,465,472.05,92171126
13961005,475.83,481,458,463.42,68587260
13961006,463.96,464,455,456.95,48138975
13961009,447.78,448,436,437.53,87084516
13961010,431.59,436,418,428.36,139126060
13961011,427.82,444,427,444,23514532
13961012,454.25,461,448,453.17,131462184
13961013,458.03,458,441,445.08,36693575
13961016,445.08,457,445,447.78,17976077
13961017,453.17,472,451,472.05,135215311
13961018,480.15,487,470,472.59,76116882
13961019,466.66,474,459,459.11,38752476
13961020,458.57,481,453,467.74,53710431
13961023,469.36,484,464,465.58,32792384
13961024,469.36,471,460,460.73,31409066
13961025,462.88,470,454,455.87,33167868
13961026,462.88,463,447,454.25,37223533
13961027,459.65,468,453,453.71,45404494
13961030,461.26,461,446,446.7,42601876
13961101,444,457,440,446.7,29153177
13961102,447.78,465,448,453.17,31094216
13961103,454.79,463,450,453.17,20883211
13961104,454.25,454,448,449.4,33268477
13961107,452.09,452,443,446.7,27801764
13961108,450.47,450,443,447.24,21148428
13961109,447.78,453,445,448.86,29553941
13961110,448.86,456,446,446.7,20760117
13961121,463.42,465,444,458.57,24650102
13961123,462.34,463,453,458.57,37995165
13961124,459.11,477,456,470.98,47767559
13961125,470.44,474,454,453.71,49509493
13961128,463.42,484,453,483.92,263729650
13961129,485.54,486,463,464.5,60879708
13961130,465.58,466,454,458.57,28277404
13961202,453.17,453,447,452.09,39304056
13961205,454.79,470,449,459.11,33467304
13961206,459.11,463,456,456.41,20174322
13961207,455.33,461,453,454.25,23066823
13961208,455.87,460,454,456.41,26803740
13961209,456.41,459,451,451.01,40936922
13961212,453.17,455,445,446.7,44085933
13961213,445.62,460,446,451.55,26356917
13961214,452.63,460,449,454.25,25788035
13961215,453.17,474,453,468.82,80311216
13961216,473.67,475,456,461.26,75382503
13961219,457.49,463,447,448.86,33635527
13961220,452.09,452,439,440.76,38335119
13961221,440.22,448,440,443.46,15472714
13961222,441.3,448,435,436.99,31046807
13961223,439.68,442,437,438.07,23873121
13961226,435.91,447,435,436.45,25113940
13961227,436.99,447,437,445.08,73609145
13961228,445.08,457,445,452.63,15860386
13970105,451.55,455,448,452.09,5837478
13970106,448.86,452,445,449.94,14106556
13970107,447.78,453,445,446.16,9313941
13970108,445.08,454,445,453.17,12293402
13970114,458.57,471,459,463.96,34709978
13970115,463.96,464,456,458.03,11929407
13970118,460.73,461,446,448.32,13134057
13970119,442.92,452,437,442.92,35401278
13970120,437.53,447,438,445.62,35719841
13970121,443.46,444,438,438.61,21208380
13970122,438.61,445,422,424.04,89727405
13970126,425.66,434,407,410.01,99669287
13970127,404.62,416,398,410.01,23648235
13970128,407.32,417,399,405.16,31216403
13970129,405.7,411,401,405.7,68261062
13970201,401.92,410,397,397.07,33553554
13970202,398.14,402,387,390.05,32437622
13970203,388.43,394,384,386.81,37056175
13970204,390.05,406,387,405.16,41439376
13970205,405.16,410,399,399.76,20033847
13970208,392.21,396,384,384.66,47112613
13970209,378.72,388,372,376.56,29525254
13970210,371.17,382,371,375.49,27699024
13970211,376.03,388,373,380.34,19172409
13970215,380.34,387,376,377.64,16920577
13970216,382.5,391,373,381.42,30339726
13970217,378.72,394,379,391.13,22110058
13970218,393.83,401,388,393.83,22549716
13970219,392.75,393,374,380.88,64427325
13970222,378.72,391,379,391.13,22846528
13970223,388.97,405,388,405.16,57054541
13970224,408.93,424,409,423.5,82445489
13970225,422.96,433,410,410.01,39056036
13970226,407.85,416,408,409.47,31146788
13970229,410.01,426,409,415.95,34218258
13970230,421.88,429,416,418.64,40001652
13970231,425.12,425,413,418.11,21648759
13970301,412.17,420,407,417.03,28523980
13970302,412.71,432,413,431.59,63857163
13970305,451.01,451,451,451.01,22247260
13970306,458.03,469,450,451.55,148851975
13970307,453.17,454,438,439.15,49621998
13970308,436.99,453,435,447.78,13928042
13970309,460.19,480,453,458.03,64647803
13970312,454.79,472,454,458.57,46720049
13970313,454.79,459,450,453.71,27210142
13970319,451.55,459,438,438.61,26946321
13970320,442.38,466,439,465.58,341248879
13970321,470.44,481,468,480.69,280469356
13970322,495.79,502,487,496.87,196623426
13970323,524.38,550,524,550.28,30768075
13970327,570.24,570,570,570.24,136360041
13970328,598.3,598,573,588.04,535811916
13970329,583.73,624,572,624.19,189704566
13970330,638.22,638,638,638.22,22593705
13970402,670.05,670,670,670.05,7584103
13970403,703.5,739,703,738.56,15094736
13970404,773.09,773,761,773.09,574545854
13970405,754.75,769,735,734.79,405199357
13970406,703.5,723,668,695.94,387411287
13970409,712.67,713,691,698.64,286144749
13970410,696.48,697,674,673.82,142379039
13970411,674.36,707,643,685.15,205774402
13970412,693.25,708,688,708.35,171317925
13970413,728.85,741,691,701.34,197152408
13970416,695.94,719,684,687.31,152784831
13970417,675.44,695,675,678.68,49281732
13970419,674.9,712,674,680.3,60546041
13970420,677.06,695,653,663.57,140284393
13970502,647.93,672,636,641.45,62740295
13970503,655.48,688,639,687.85,97354908
13970506,698.64,699,699,698.64,12303960
13970507,733.17,733,713,733.17,263820087
13970508,752.05,768,744,767.7,90657501
13970509,800.06,800,800,800.06,1790240
13970510,839.99,882,798,814.63,354953613
13970513,803.84,847,783,819.49,178710274
13970514,836.21,852,828,852.4,296942195
13970515,893.4,893,890,893.4,211243246
13970516,900.95,938,889,937.63,403518816
13970517,944.11,966,897,953.82,206162262
13970520,964.61,983,951,982.41,110750314
13970521,984.03,1020,935,967.31,168560730
13970522,959.75,960,927,926.85,169195229
13970523,900.95,968,894,916.06,262984858
13970524,917.67,935,901,909.04,90500232
13970527,900.95,909,870,898.25,125814173
13970528,927.92,931,912,931.16,173980189
13970529,965.69,977,955,977.02,138640294
13970530,971.62,1004,933,985.11,143090350
13970603,992.12,1017,959,964.61,88109954
13970604,962.45,1025,939,1018.02,153936634
13970605,1024.49,1046,1020,1046.07,148477344
13970606,1068.19,1078,991,1035.82,199643971
13970607,1046.61,1064,1025,1030.43,83258893
13970610,1030.43,1055,1003,1008.85,83511373
13970611,1003.99,1009,971,971.08,120625998
13970612,981.87,1023,961,1023.41,112132575
13970613,1041.22,1057,1026,1052.01,95953414
13970614,1052.01,1054,1022,1046.61,80737308
13970617,1052.01,1089,1044,1088.69,107292688
13970618,1134.01,1134,1128,1134.01,34682285
13970619,1190.66,1191,1176,1190.66,76919068
13970620,1250,1250,1199,1250,166669441
13970621,1299.09,1364,1299,1363.83,39638814
13970624,1431.27,1431,1312,1333.08,239880651
13970625,1354.12,1381,1317,1370.31,163197500
13970626,1401.06,1409,1343,1346.57,182774412
13970627,1374.08,1392,1323,1348.73,109734780
13970631,1375.7,1419,1370,1383.79,96652302
13970701,1413.47,1465,1413,1465.26,68138908
13970702,1533.77,1534,1534,1533.77,37935833
13970703,1610.38,1610,1610,1610.38,22150017
13970704,1690.76,1691,1691,1690.76,8961083
13970707,1774.92,1863,1775,1863.4,224306199
13970708,1948.64,1949,1949,1948.64,41402282
13970709,2045.75,2046,2046,2045.75,6950834
13970714,2147.71,2148,2040,2040.35,72851064
13970715,1991.26,1991,1991,1991.26,44613632
13970716,1891.99,1892,1892,1891.99,13858218
13970717,1797.58,1952,1798,1797.58,550695159
13970718,1739.32,1775,1739,1739.32,86677768
13970721,1653.54,1654,1654,1653.54,1808016
13970722,1571,1571,1493,1492.77,442664807
13970723,1537.55,1569,1521,1568.84,185562457
13970724,1617.39,1618,1486,1530,202330861
13970725,1477.67,1502,1478,1477.67,185289021
13970728,1510.57,1554,1511,1553.73,118099958
13970729,1596.89,1597,1548,1552.11,107275040
13970730,1548.34,1548,1486,1486.3,119898436
13970801,1505.18,1505,1418,1417.78,43105749
